2026-01-20 21:43:50 - INFO - [CHK_1B] ======================================================================
2026-01-20 21:43:50 - INFO - [CHK_1B] CHK_1B - Date Validity
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 797: Date mismatch for fund 1221670 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 798: Date mismatch for fund 1221670 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 799: Date mismatch for fund 1221670 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 800: Date mismatch for fund 1221670 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 801: Date mismatch for fund 1221670 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 802: Date mismatch for fund 1221670 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 803: Date mismatch for fund 1221670 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 804: Date mismatch for fund 1222439 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 805: Date mismatch for fund 1222439 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 806: Date mismatch for fund 1222439 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 807: Date mismatch for fund 1222439 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 808: Date mismatch for fund 1222439 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 809: Date mismatch for fund 1222439 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 810: Date mismatch for fund 1222439 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 811: Date mismatch for fund 1222439 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 812: Date mismatch for fund 1222439 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 813: Date mismatch for fund 1222439 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 1006: Date mismatch for fund 5121843 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 1007: Date mismatch for fund 5121843 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 1008: Date mismatch for fund 5121843 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 1009: Date mismatch for fund 5121843 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 1010: Date mismatch for fund 5121843 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 1011: Date mismatch for fund 5121843 - expected 2025-12, got 2025-11-27
